GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
284738536,20130205,201302,2013,2013.0959,ESP,SPAIN,ESP,,,,,,,,,,,,,,,,,,1,043,043,04,1,2.8,8,1,8,0.443458980044346,4,"Melilla, Spain (general), Spain",SP,SP00,35.2839,-2.94307,-391809,0,,,,,,,4,"Melilla, Spain (general), Spain",SP,SP00,35.2839,-2.94307,-391809,20140205,http://elpais.com/elpais/2014/02/05/inenglish/1391602311_961152.html
285432728,20130211,201302,2013,2013.1123,ESP,SPAIN,ESP,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,0,042,042,04,1,1.9,1,1,1,1.38169257340242,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,1,United Kingdom,UK,UK,54,-2,UK,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,20140211,http://news.gnom.es/business/ono-board-weighs-vodafone-offer-against-stock-market-plan
285432729,20130211,201302,2013,2013.1123,ESP,SPAIN,ESP,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,0,124,124,12,3,-4,1,1,1,1.38169257340242,4,"Quebec, Quebec, Canada",CA,CA10,47.5,-72,-571850,4,"Quebec, Quebec, Canada",CA,CA10,47.5,-72,-571850,4,"Quebec, Quebec, Canada",CA,CA10,47.5,-72,-571850,20140211,http://news.gnom.es/business/ono-board-weighs-vodafone-offer-against-stock-market-plan
285432807,20130211,201302,2013,2013.1123,GBR,UNITED KINGDOM,GBR,,,,,,,,ESP,SPAIN,ESP,,,,,,,,0,043,043,04,1,2.8,1,1,1,1.38169257340242,1,United Kingdom,UK,UK,54,-2,UK,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,20140211,http://news.gnom.es/business/ono-board-weighs-vodafone-offer-against-stock-market-plan
286786831,20130221,201302,2013,2013.1397,GBR,BRITAIN,GBR,,,,,,,,ESPGOV,SPANISH,ESP,,,,,GOV,,,1,114,114,11,3,-2,6,1,6,2.0460358056266,4,"Vienna, Wien, Austria",AU,AU09,48.2,16.3667,-1995499,4,"Vienna, Wien, Austria",AU,AU09,48.2,16.3667,-1995499,4,"Vienna, Wien, Austria",AU,AU09,48.2,16.3667,-1995499,20140221,http://www.theolivepress.es/spain-news/2014/02/21/spanish-warship-disrupts-british-navy-training-exercise-in-gibraltar/
286786830,20130221,201302,2013,2013.1397,GBR,BRITAIN,GBR,,,,,,,,ESP,SPANISH,ESP,,,,,,,,1,114,114,11,3,-2,2,1,2,2.0460358056266,4,"Vienna, Wien, Austria",AU,AU09,48.2,16.3667,-1995499,4,"Vienna, Wien, Austria",AU,AU09,48.2,16.3667,-1995499,4,"Vienna, Wien, Austria",AU,AU09,48.2,16.3667,-1995499,20140221,http://www.theolivepress.es/spain-news/2014/02/21/spanish-warship-disrupts-british-navy-training-exercise-in-gibraltar/
285298015,20130210,201302,2013,2013.1096,ESPCOP,SPAIN,ESP,,,,,COP,,,GBR,BRITISH,GBR,,,,,,,,0,173,173,17,4,-5,1,1,1,1.39275766016713,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,20140210,http://www.theolivepress.es/spain-news/2014/02/10/spanish-police-on-the-hunt-for-british-fugitives/
285298016,20130210,201302,2013,2013.1096,ESPCOP,SPAIN,ESP,,,,,COP,,,GBR,BRITISH,GBR,,,,,,,,0,173,173,17,4,-5,1,1,1,1.39275766016713,1,Spain,SP,SP,40,-4,SP,1,United Kingdom,UK,UK,54,-2,UK,1,Spain,SP,SP,40,-4,SP,20140210,http://www.theolivepress.es/spain-news/2014/02/10/spanish-police-on-the-hunt-for-british-fugitives/
285298018,20130210,201302,2013,2013.1096,ESPCOP,SPANISH,ESP,,,,,COP,,,GBRGOV,BRITISH,GBR,,,,,GOV,,,0,173,173,17,4,-5,6,1,6,1.39275766016713,1,Spain,SP,SP,40,-4,SP,1,United Kingdom,UK,UK,54,-2,UK,1,Spain,SP,SP,40,-4,SP,20140210,http://www.theolivepress.es/spain-news/2014/02/10/spanish-police-on-the-hunt-for-british-fugitives/
286786756,20130221,201302,2013,2013.1397,ESP,SPANISH,ESP,,,,,,,,USA,PENNSYLVANIA,USA,,,,,,,,1,061,061,06,2,6.4,1,1,1,1.61812297734628,1,United States,US,US,38,-97,US,1,United States,US,US,38,-97,US,1,United States,US,US,38,-97,US,20140221,http://elpais.com/elpais/2014/02/21/inenglish/1392988834_557560.html
286786755,20130221,201302,2013,2013.1397,ESP,SPANISH,ESP,,,,,,,,USA,PENNSYLVANIA,USA,,,,,,,,1,061,061,06,2,6.4,4,1,4,1.61812297734628,1,United States,US,US,38,-97,US,1,Spain,SP,SP,40,-4,SP,1,United States,US,US,38,-97,US,20140221,http://elpais.com/elpais/2014/02/21/inenglish/1392988834_557560.html
284737915,20130205,201302,2013,2013.0959,,,,,,,,,,,ESP,SPAIN,ESP,,,,,,,,1,042,042,04,1,1.9,8,1,8,0.443458980044346,0,,,,,,,4,"Melilla, Spain (general), Spain",SP,SP00,35.2839,-2.94307,-391809,4,"Melilla, Spain (general), Spain",SP,SP00,35.2839,-2.94307,-391809,20140205,http://elpais.com/elpais/2014/02/05/inenglish/1391602311_961152.html
289301906,20130313,201303,2013,2013.2,ESP,SPAIN,ESP,,,,,,,,EUR,EUROPEAN,EUR,,,,,,,,0,070,070,07,2,7,16,1,16,1.59235668789809,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,20140313,http://elpais.com/elpais/2014/03/13/inenglish/1394709170_922706.html/RK=0/RS=.BwklrBUjOgsl4HW0ADPeYeiCvg-
289301908,20130313,201303,2013,2013.2,ESP,SPAIN,ESP,,,,,,,,IGOEUREEC,EUROPEAN COMMISSION,EUR,EEC,,,,IGO,,,0,020,020,02,1,3,12,1,12,1.59235668789809,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,20140313,http://elpais.com/elpais/2014/03/13/inenglish/1394709170_922706.html/RK=0/RS=.BwklrBUjOgsl4HW0ADPeYeiCvg-
289301909,20130313,201303,2013,2013.2,ESP,SPAIN,ESP,,,,,,,,IGOEUREEC,EUROPEAN COMMISSION,EUR,EEC,,,,IGO,,,0,020,020,02,1,3,4,1,4,1.59235668789809,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,20140313,http://elpais.com/elpais/2014/03/13/inenglish/1394709170_922706.html/RK=0/RS=.BwklrBUjOgsl4HW0ADPeYeiCvg-
289301913,20130313,201303,2013,2013.2,EUR,EUROPEAN,EUR,,,,,,,,ESP,SPAIN,ESP,,,,,,,,0,043,043,04,1,2.8,4,1,4,1.59235668789809,1,Spain,SP,SP,40,-4,SP,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,20140313,http://elpais.com/elpais/2014/03/13/inenglish/1394709170_922706.html/RK=0/RS=.BwklrBUjOgsl4HW0ADPeYeiCvg-
291573588,20130331,201303,2013,2013.2493,ESP,SPANIARD,ESP,,,,,,,,BEL,BELGIUM,BEL,,,,,,,,1,174,174,17,4,-5,4,1,4,3.40314136125654,1,United Kingdom,UK,UK,54,-2,UK,1,United Kingdom,UK,UK,54,-2,UK,1,United Kingdom,UK,UK,54,-2,UK,20140331,http://www.thelocal.es/20140331/jobless-spaniards-to-be-kicked-out-of-germany
291573587,20130331,201303,2013,2013.2493,ESP,SPANIARD,ESP,,,,,,,,BEL,BELGIUM,BEL,,,,,,,,1,174,174,17,4,-5,16,1,16,3.40314136125654,1,Spain,SP,SP,40,-4,SP,1,Belgium,BE,BE,50.8333,4,BE,1,Belgium,BE,BE,50.8333,4,BE,20140331,http://www.thelocal.es/20140331/jobless-spaniards-to-be-kicked-out-of-germany
291270032,20130328,201303,2013,2013.2411,ESP,SPANISH,ESP,,,,,,,,NGOCHRCTH,CARITAS,,,,CHR,CTH,NGO,,,1,012,012,01,1,-0.4,20,2,20,1.78495762711864,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,20140328,http://www.thelocal.es/20140328/spain-only-second-to-romania-in-eu-child-poverty
289301907,20130313,201303,2013,2013.2,ESP,SPAIN,ESP,,,,,,,,IGOEUREEC,EUROPEAN COMMISSION,EUR,EEC,,,,IGO,,,0,020,020,02,1,3,4,1,4,1.59235668789809,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,20140313,http://elpais.com/elpais/2014/03/13/inenglish/1394709170_922706.html/RK=0/RS=.BwklrBUjOgsl4HW0ADPeYeiCvg-
290475159,20130322,201303,2013,2013.2247,ESP,SPAIN,ESP,,,,,,,,,,,,,,,,,,1,143,143,14,3,-6.5,4,1,4,8.21256038647343,1,Spain,SP,SP,40,-4,SP,0,,,,,,,1,Spain,SP,SP,40,-4,SP,20140322,http://www.thelocal.es/20140321/worlds-best-mayor-loses-battle-against-cancer
289301905,20130313,201303,2013,2013.2,ESP,SPAIN,ESP,,,,,,,,EUR,EUROPEAN,EUR,,,,,,,,0,070,070,07,2,7,4,1,4,1.59235668789809,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,1,Spain,SP,SP,40,-4,SP,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,20140313,http://elpais.com/elpais/2014/03/13/inenglish/1394709170_922706.html/RK=0/RS=.BwklrBUjOgsl4HW0ADPeYeiCvg-
289301903,20130313,201303,2013,2013.2,ESP,SPAIN,ESP,,,,,,,,EUR,EUROPEAN,EUR,,,,,,,,0,042,042,04,1,1.9,4,1,4,1.59235668789809,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,1,Spain,SP,SP,40,-4,SP,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,20140313,http://elpais.com/elpais/2014/03/13/inenglish/1394709170_922706.html/RK=0/RS=.BwklrBUjOgsl4HW0ADPeYeiCvg-
287916134,20130303,201303,2013,2013.1726,JUD,JUDGE,,,,,,JUD,,,ESP,SPAIN,ESP,,,,,,,,0,173,173,17,4,-5,4,1,4,1.06157112526539,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,20140303,http://elpais.com/elpais/2014/03/03/inenglish/1393868870_259864.html
287915795,20130303,201303,2013,2013.1726,ESP,SPAIN,ESP,,,,,,,,USA,FLORIDA,USA,,,,,,,,0,091,091,09,2,-2,2,1,2,1.06157112526539,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,20140303,http://elpais.com/elpais/2014/03/03/inenglish/1393868870_259864.html
290961892,20130326,201303,2013,2013.2356,ESP,SPAIN,ESP,,,,,,,,COP,NATIONAL POLICE,,,,,,COP,,,1,051,051,05,1,3.4,12,2,12,2.48039474843598,1,Poland,PL,PL,52,20,PL,1,Poland,PL,PL,52,20,PL,1,Poland,PL,PL,52,20,PL,20140326,http://news.gnom.es/news/spanish-police-winning-the-battle-against-foreign-criminals
287915794,20130303,201303,2013,2013.1726,ESP,SPAIN,ESP,,,,,,,,USA,FLORIDA,USA,,,,,,,,0,091,091,09,2,-2,2,1,2,1.06157112526539,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,20140303,http://elpais.com/elpais/2014/03/03/inenglish/1393868870_259864.html
294477254,20130423,201304,2013,2013.3096,ESP,SPAIN,ESP,,,,,,,,COP,POLICE,,,,,,COP,,,0,141,141,14,3,-6.5,5,1,5,1.50214592274678,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,20140423,http://elpais.com/elpais/2014/04/23/inenglish/1398248947_956366.html
254312709,20130426,201304,2013,2013.3178,ESP,SPAIN,ESP,,,,,,,, ,,,,,,,,,,1,090,090,09,2,-2,2,1,2,0.526315789473684,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,0,,,,,,,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,20130426,http://www.esecurityplanet.com/network-security/dutchman-arrested-over-spamhaus-ddos-attack.html
254312707,20130426,201304,2013,2013.3178,ESP,BARCELONA,ESP,,,,,,,, ,,,,,,,,,,1,090,090,09,2,-2,8,1,8,0.526315789473684,4,"Barcelona, Comunidad Autonoma de Cataluna, Spain",SP,SP56,41.3833,2.18333,-372490,0,,,,,,,4,"Barcelona, Comunidad Autonoma de Cataluna, Spain",SP,SP56,41.3833,2.18333,-372490,20130426,http://www.esecurityplanet.com/network-security/dutchman-arrested-over-spamhaus-ddos-attack.html
291856022,20130402,201304,2013,2013.2521,GBR,BRITAIN,GBR,,,,,,,,ESP,SPANISH,ESP,,,,,,,,0,114,114,11,3,-2,2,1,2,2.25225225225225,1,United Kingdom,UK,UK,54,-2,UK,1,United Kingdom,UK,UK,54,-2,UK,1,United Kingdom,UK,UK,54,-2,UK,20140402,http://www.theolivepress.es/spain-news/2014/04/02/spanish-ambassador-summoned-to-foreign-office-after-dangerous-incursion-by-ship-into-gibraltar-waters/
291856023,20130402,201304,2013,2013.2521,GBR,BRITAIN,GBR,,,,,,,,ESPGOV,SPANISH,ESP,,,,,GOV,,,0,114,114,11,3,-2,12,1,12,2.25225225225225,1,United Kingdom,UK,UK,54,-2,UK,1,Spain,SP,SP,40,-4,SP,1,United Kingdom,UK,UK,54,-2,UK,20140402,http://www.theolivepress.es/spain-news/2014/04/02/spanish-ambassador-summoned-to-foreign-office-after-dangerous-incursion-by-ship-into-gibraltar-waters/
291992586,20130403,201304,2013,2013.2548,ESP,SPANISH,ESP,,,,,,,,,,,,,,,,,,1,051,051,05,1,3.4,10,1,10,3.77358490566038,4,"La Mancha, Canarias, Spain",SP,SP53,28.55,-16.1167,-387397,0,,,,,,,4,"La Mancha, Canarias, Spain",SP,SP53,28.55,-16.1167,-387397,20140403,http://www.theolivepress.es/spain-news/2014/04/03/spanish-wine-production-soars-above-france-and-italy/
291856021,20130402,201304,2013,2013.2521,GBR,BRITAIN,GBR,,,,,,,,ESP,SPANISH,ESP,,,,,,,,0,114,114,11,3,-2,2,1,2,2.25225225225225,1,United Kingdom,UK,UK,54,-2,UK,1,Spain,SP,SP,40,-4,SP,1,United Kingdom,UK,UK,54,-2,UK,20140402,http://www.theolivepress.es/spain-news/2014/04/02/spanish-ambassador-summoned-to-foreign-office-after-dangerous-incursion-by-ship-into-gibraltar-waters/
291992629,20130403,201304,2013,2013.2548,GBR,BRITAIN,GBR,,,,,,,,ESP,SPANISH,ESP,,,,,,,,0,114,114,11,3,-2,1,1,1,2.6530612244898,1,Gibraltar,GI,GI,36.1833,-5.3667,GI,1,United Kingdom,UK,UK,54,-2,UK,1,United Kingdom,UK,UK,54,-2,UK,20140403,http://www.theolivepress.es/spain-news/2014/04/03/british-ambassador-to-spain-summoned-by-spanish-government-over-gibraltar-water-troubles/
291992630,20130403,201304,2013,2013.2548,GBR,BRITAIN,GBR,,,,,,,,ESP,SPANISH,ESP,,,,,,,,0,114,114,11,3,-2,1,1,1,2.01058201058201,1,United Kingdom,UK,UK,54,-2,UK,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,1,United Kingdom,UK,UK,54,-2,UK,20140403,http://www.theolivepress.es/spain-news/2014/04/03/spanish-ambassador-summoned-to-foreign-office-after-dangerous-incursion-by-ship-into-gibraltar-waters/
291992631,20130403,201304,2013,2013.2548,GBR,BRITAIN,GBR,,,,,,,,ESP,SPANISH,ESP,,,,,,,,0,114,114,11,3,-2,1,1,1,2.6530612244898,1,United Kingdom,UK,UK,54,-2,UK,1,Spain,SP,SP,40,-4,SP,1,United Kingdom,UK,UK,54,-2,UK,20140403,http://www.theolivepress.es/spain-news/2014/04/03/british-ambassador-to-spain-summoned-by-spanish-government-over-gibraltar-water-troubles/
293762120,20130417,201304,2013,2013.2932,ESP,SPANIARD,ESP,,,,,,,,,,,,,,,,,,1,190,190,19,4,-10,10,1,10,1.69491525423729,1,Spain,SP,SP,40,-4,SP,0,,,,,,,1,Spain,SP,SP,40,-4,SP,20140417,http://elpais.com/elpais/2014/04/16/inenglish/1397657287_424479.html
291992632,20130403,201304,2013,2013.2548,GBR,BRITAIN,GBR,,,,,,,,ESP,SPANISH,ESP,,,,,,,,0,114,114,11,3,-2,1,1,1,2.01058201058201,1,United Kingdom,UK,UK,54,-2,UK,1,United Kingdom,UK,UK,54,-2,UK,1,United Kingdom,UK,UK,54,-2,UK,20140403,http://www.theolivepress.es/spain-news/2014/04/03/spanish-ambassador-summoned-to-foreign-office-after-dangerous-incursion-by-ship-into-gibraltar-waters/
291992633,20130403,201304,2013,2013.2548,GBR,BRITAIN,GBR,,,,,,,,ESPGOV,SPANISH,ESP,,,,,GOV,,,0,114,114,11,3,-2,6,1,6,2.01058201058201,1,United Kingdom,UK,UK,54,-2,UK,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,1,United Kingdom,UK,UK,54,-2,UK,20140403,http://www.theolivepress.es/spain-news/2014/04/03/spanish-ambassador-summoned-to-foreign-office-after-dangerous-incursion-by-ship-into-gibraltar-waters/
291992634,20130403,201304,2013,2013.2548,GBR,BRITAIN,GBR,,,,,,,,ESPGOV,SPANISH,ESP,,,,,GOV,,,0,114,114,11,3,-2,6,1,6,2.6530612244898,1,United Kingdom,UK,UK,54,-2,UK,1,Spain,SP,SP,40,-4,SP,1,United Kingdom,UK,UK,54,-2,UK,20140403,http://www.theolivepress.es/spain-news/2014/04/03/british-ambassador-to-spain-summoned-by-spanish-government-over-gibraltar-water-troubles/
298737821,20130526,201305,2013,2013.4,ESP,SPAIN,ESP,,,,,,,,EUR,EUROPE,EUR,,,,,,,,1,042,042,04,1,1.9,2,1,2,1.26582278481013,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,20140526,http://www.thelocal.es/20140526/immigration-spain-germany-stats
298737824,20130526,201305,2013,2013.4,EUR,EUROPE,EUR,,,,,,,,ESP,SPAIN,ESP,,,,,,,,1,043,043,04,1,2.8,2,1,2,1.26582278481013,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,1,Spain,SP,SP,40,-4,SP,20140526,http://www.thelocal.es/20140526/immigration-spain-germany-stats
295735286,20130502,201305,2013,2013.3342,ESPCOP,SPANISH,ESP,,,,,COP,,,ESP,SPAIN,ESP,,,,,,,,1,080,080,08,2,5,6,1,6,1.35593220338983,4,"Benalmadena, AndalucíSP, Spain",SP,SP51,36.5954,-4.57322,-373144,4,"Benalmadena, AndalucíSP, Spain",SP,SP51,36.5954,-4.57322,-373144,4,"Benalmadena, AndalucíSP, Spain",SP,SP51,36.5954,-4.57322,-373144,20140502,http://www.theolivepress.es/spain-news/2014/05/02/british-paedophile-arrested-on-costa-del-sol/
298253932,20130522,201305,2013,2013.389,,,,,,,,,,,ESP,SPAIN,ESP,,,,,,,,0,036,036,03,1,4,4,1,4,3.66108786610879,0,,,,,,,4,"Barcelona, Comunidad Autonoma de Cataluna, Spain",SP,SP56,41.3833,2.18333,-372490,4,"Barcelona, Comunidad Autonoma de Cataluna, Spain",SP,SP56,41.3833,2.18333,-372490,20140522,http://elpais.com/elpais/2014/05/21/inenglish/1400669451_931376.html
298254444,20130522,201305,2013,2013.389,ESP,SPAIN,ESP,,,,,,,,,,,,,,,,,,0,036,036,03,1,4,4,1,4,3.66108786610879,4,"Barcelona, Comunidad Autonoma de Cataluna, Spain",SP,SP56,41.3833,2.18333,-372490,0,,,,,,,4,"Barcelona, Comunidad Autonoma de Cataluna, Spain",SP,SP56,41.3833,2.18333,-372490,20140522,http://elpais.com/elpais/2014/05/21/inenglish/1400669451_931376.html
256064576,20130515,201305,2013,2013.3699,,,,,,,,,,, ESP,SPAIN,ESP,,,,,,,,1,043,043,04,1,2.8,2,1,2,2.73348519362187,0,,,,,,,5,"Andalucia, AndalucíSP, Spain",SP,SP51,37.6,-4.5,6198367,5,"Andalucia, AndalucíSP, Spain",SP,SP51,37.6,-4.5,6198367,20130614,http://www.theolivepress.es/spain-news/2013/06/14/brangelina-for-bella/
256064748,20130515,201305,2013,2013.3699,ESP,SPAIN,ESP,,,,,,,, ,,,,,,,,,,1,042,042,04,1,1.9,2,1,2,2.73348519362187,5,"Andalucia, AndalucíSP, Spain",SP,SP51,37.6,-4.5,6198367,0,,,,,,,5,"Andalucia, AndalucíSP, Spain",SP,SP51,37.6,-4.5,6198367,20130614,http://www.theolivepress.es/spain-news/2013/06/14/brangelina-for-bella/
